id,nome,ano_registo,type,n_reg,lat,lon,score_global,score_location,score_price/quality,data_levan,nearest_metro,nearest_bus,nearest_tur_point,POI_closer_than_1000
336,10 emsãodomingos,2016.0,Moradia,27459/AL,41.14268351910057,-8.614380579790064,-1.0,9.5,8.2,1488758400000.0,372.30283220231973,102.17778826184835,196.93752548809428,7
338,discovery | porto-flores,2016.0,Apartamento,36102/AL,41.14346197904747,-8.6147477555808,9.2,9.8,9.1,1488758400000.0,358.2247535269181,101.6409227778564,266.3799293469076,7
342,alma guest house,2016.0,Apartamento,26227/AL,41.146618905921294,-8.616663708542278,7.9,9.5,8.0,1488758400000.0,522.1312375304307,32.842062894666704,581.1874750629822,6
343,rivoli cinema hostel,2014.0,Estabelecimento de hospedagem-Hostel,6524/AL,41.14753037490612,-8.609796995024718,9.1,9.7,9.0,1488758400000.0,149.94341112634143,55.76078883627675,37.13990365330749,9
344,oporto loft,2015.0,Moradia,2947/AL,41.1481591502653,-8.623558721234042,-1.0,9.1,9.0,1488758400000.0,1056.0238835251607,88.71474398550943,1063.6753497237612,4
347,josé faustino ferreira rodrigues,2014.0,Estabelecimento de hospedagem,9121/AL,41.15898321758461,-8.608650958391916,-1.0,7.7,7.2,1488758400000.0,189.2779366968974,64.65293012369214,998.6243736264968,6
348,charm apartments porto,2015.0,Moradia,19617/AL,41.14346719659168,-8.614169626222079,8.8,9.6,8.4,1488758400000.0,313.26140156652826,65.99770167103803,218.9766798569524,7
350,porto república hostel & suites,2016.0,Estabelecimento de hospedagem-Hostel,23441/AL,41.153482112600436,-8.613026239799233,-1.0,8.7,8.5,1488758400000.0,330.22642818716656,91.50240777451069,397.0583062193575,8
352,casa s. salvador,2016.0,Apartamento,34019/AL,41.14206260884095,-8.614193116681577,8.4,9.7,8.5,1488758400000.0,404.82871966682524,94.57780285091606,131.9860022436975,6
353,bolhão central loft,2016.0,Apartamento,31237/AL,41.14919694507504,-8.606570623341513,9.4,9.8,8.8,1488758400000.0,81.10798101169804,22.105589869115267,308.0205040464653,7
362,"surfivor - porto surf hostel, lda",2014.0,Estabelecimento de hospedagem-Hostel,17191/AL,41.158994878727604,-8.6831959199535,8.3,9.0,8.2,1488758400000.0,3681.9854827168347,92.56350779208599,6093.894036430758,1
364,ap - almeida e cruz,2016.0,Apartamento,25840/AL,41.177618549831536,-8.5832667411691,9.5,7.9,9.6,1488758400000.0,908.9932957527301,31.331895175191068,3840.701290577293,0
366,casa trindade,2016.0,Apartamento,30612/AL,41.15453787827766,-8.609683473154274,9.6,9.3,9.7,1488758400000.0,238.68355566165863,29.554971434085413,498.3713387285728,6
367,aparthotel oporto,2016.0,Apartamento,36039/AL,41.148315417189224,-8.603090814571031,9.1,9.1,8.9,1488758400000.0,335.0043716318844,108.5229795126034,537.3668933037128,6
368,studio77,2016.0,Apartamento,36055/AL,41.14854394854404,-8.603212900426179,9.6,9.6,9.6,1488758400000.0,313.2250164590912,135.15178973286632,532.7050838637888,6
375,apartamento monsanto,2015.0,Apartamento,10753/AL,41.171433746371825,-8.618964280125894,9.5,8.6,9.7,1488758400000.0,1335.5365480802525,159.6406000108072,2447.1217628999784,2
378,kika's home oporto flat,2015.0,Apartamento,7832/AL,41.166924061462026,-8.6002054647854,9.1,8.5,9.3,1488758400000.0,227.56908366990314,130.11608200034084,2072.887977667994,1
384,koolhouse porto,2014.0,Estabelecimento de hospedagem,519/AL,41.158588285857505,-8.634451614745057,9.0,8.7,9.0,1488758400000.0,527.0680472694017,10.527682310837378,2164.370407548105,0
