,address,name,score,type
70,"-8.64068866797995,41.12367667331,-8.5928891496985,41.1596075064562",Comercio do Porto by Oporto Tourist Apartments,"{'global': 8.7, 'staff': 9.2, 'commodities': 8.1, 'cleanliness': 8.8, 'confort': 8.1, 'price/quality': 8.2, 'location': 9.5, 'free-wifi': 8.1}",Apartamento 
71,"-8.62741192955202,41.1296315834269,-8.57960807044798,41.1655624165731",Domus 21 - Formosa,"{'global': 9.5, 'staff': 9.7, 'commodities': 9.5, 'cleanliness': 9.9, 'confort': 9.0, 'price/quality': 9.1, 'location': 9.8, 'free-wifi': 8.8}",Apartamento 
72,"-8.62623611564169,41.1256247265401,-8.57843517747341,41.1615555596863",Oporto4all - Fontainhas (By Douro River),"{'global': 9.5, 'staff': 9.4, 'commodities': 9.3, 'cleanliness': 9.8, 'confort': 9.6, 'price/quality': 9.4, 'location': 9.1, 'free-wifi': 10.0}",Apartamento 
73,"-8.62958048668346,41.1346515295794,-8.58177296728369,41.1705823627256",LovePorto - Sá da Bandeira,"{'global': 9.0, 'staff': 9.3, 'commodities': 8.5, 'cleanliness': 9.3, 'confort': 8.8, 'price/quality': 8.9, 'location': 9.1, 'free-wifi': 8.9}",Apartamento 
74,"-8.63333848715231,41.1323256637609,-8.58553266377383,41.1682564969071",HM - Bonjardim Duplex Charming Apartmen,"{'global': 9.3, 'staff': 9.4, 'commodities': 9.3, 'cleanliness': 9.4, 'confort': 9.2, 'price/quality': 9.0, 'location': 9.3, 'free-wifi': 8.8}",Apartamento 
75,"-8.63914834193456,41.123982993539,-8.59134860039327,41.1599138266852",Adorable Apartments in Great Area by Porto City Hosts,"{'global': 7.9, 'staff': 8.5, 'commodities': 7.3, 'cleanliness': 7.7, 'confort': 6.9, 'price/quality': 7.3, 'location': 9.6, 'free-wifi': 6.7}",Apartamento 
76,"-8.64813127935766,41.1304823593,-8.60032679997532,41.1664131924462",Casas do Paláci,"{'global': 9.3, 'staff': 9.6, 'commodities': 9.2, 'cleanliness': 9.6, 'confort': 9.3, 'price/quality': 9.1, 'location': 8.9, 'free-wifi': 8.2}",Apartamento 
77,"-8.63228346389367,41.1267079834269,-8.58448173610639,41.1626388165731",Nations Porto - Studios & Suites,"{'global': 9.0, 'staff': 9.6, 'commodities': 8.7, 'cleanliness': 9.5, 'confort': 8.8, 'price/quality': 8.7, 'location': 8.8, 'free-wifi': 8.5}",Casa de hóspedes 
78,"-8.63255214306886,41.1466695834269,-8.58473585693114,41.1826004165731",The Blue Guest Hous,"{'global': 9.7, 'staff': 10.0, 'commodities': 9.8, 'cleanliness': 9.9, 'confort': 9.8, 'price/quality': 9.6, 'location': 9.2, 'free-wifi': 10.0}",Alojamento de acomodação e pequeno-almoço 
79,"-8.63942011199966,41.1248662723321,-8.5916197266661,41.1607971054783",Belomont6 Apartments,"{'global': 9.3, 'staff': 9.2, 'commodities': 9.1, 'cleanliness': 9.5, 'confort': 9.2, 'price/quality': 9.2, 'location': 9.7, 'free-wifi': 9.0}",Apartamento 
80,"-8.63482247061419,41.1277295003576,-8.5870199981725,41.1636603335038",Oporto Welcome Apartments - Carruagem 42,"{'global': 9.5, 'staff': 9.5, 'commodities': 9.2, 'cleanliness': 9.6, 'confort': 9.4, 'price/quality': 9.3, 'location': 9.8, 'free-wifi': 9.6}",Apartamento 
81,"-8.63574285936082,41.1266518287532,-8.58794117250746,41.1625826618994",Porto 271 Mouzinho Apartamentos,"{'global': 8.9, 'staff': 8.4, 'commodities': 8.7, 'cleanliness': 9.2, 'confort': 8.6, 'price/quality': 8.9, 'location': 9.6, 'free-wifi': 8.6}",Apartamento 
82,"-8.62862055444719,41.1268499104926,-8.58081872320174,41.1627807436388",Loulé Estúdios,"{'global': 8.9, 'staff': 9.0, 'commodities': 8.4, 'cleanliness': 9.0, 'confort': 8.7, 'price/quality': 9.0, 'location': 9.1, 'free-wifi': 8.1}",Apartamento 
83,"-8.63570626407543,41.1270552498173,-8.58790428314594,41.1629860829635",Trindade Apartmen,"{'global': 9.7, 'staff': 9.5, 'commodities': 9.5, 'cleanliness': 9.9, 'confort': 9.8, 'price/quality': 9.5, 'location': 9.9, 'free-wifi': 9.2}",Apartamento 
84,"-8.6417180355103,41.1259296486914,-8.59391687507933,41.1618604818376",Domum 2,"{'global': 9.4, 'staff': 9.4, 'commodities': 9.2, 'cleanliness': 9.5, 'confort': 9.4, 'price/quality': 9.3, 'location': 9.7, 'free-wifi': 9.7}",Apartamento 
85,"-8.63475329701879,41.1357592509838,-8.58694496979859,41.17169008413",Trindad,"{'global': 9.4, 'staff': 9.7, 'commodities': 9.3, 'cleanliness': 9.5, 'confort': 9.2, 'price/quality': 9.3, 'location': 9.2, 'free-wifi': 9.4}",Apartamento 
86,"-8.6205302849844,41.1251195834269,-8.5727297150156,41.1610504165731",LAZ apartmen,"{'global': 9.7, 'staff': 9.8, 'commodities': 9.7, 'cleanliness': 10.0, 'confort': 9.8, 'price/quality': 9.6, 'location': 9.1, 'free-wifi': 7.5}",Apartamento 
87,"-8.63384148498788,41.1366405834269,-8.58603251501212,41.1725714165731",Turista Da Trindad,"{'global': 8.9, 'staff': 9.0, 'commodities': 8.6, 'cleanliness': 9.4, 'confort': 8.8, 'price/quality': 8.7, 'location': 8.6, 'free-wifi': 7.4}",Alojamento de acomodação e pequeno-almoço 
88,"-8.62515005021213,41.1299625834269,-8.57734594978787,41.1658934165731",Nomad's Netto & Subway,"{'global': 8.6, 'staff': 8.6, 'commodities': 8.2, 'cleanliness': 9.1, 'confort': 8.6, 'price/quality': 8.3, 'location': 8.8, 'free-wifi': 10.0}",Apartamento 
